"Bib","Firstname","Surname","NameFormatted","Gender","Nation","Club","Team","ClubTeamFormatted","Chips","EventName","ClassName","GroupdName","RaceName","PointName","PointNumber","Lap","Status","Communique","Penalty","PassingTime","AccumulatedTime","TimeFormatted","NetTime","NetTimeFormatted","TimeSmoothed","TimeSmoothedFormatted","LapTime","LapTimeFormatted","LapNetTime","LapNetTimeFormatted","LapTimeSmoothed","RankTotal","DiffTimeTotal","DiffTimeTotalFormatted","DiffRoundsTotal","RankClass","DiffTimeClass","DiffTimeClassFormatted","DiffRoundsClass","RankGender","DiffTimeGender","DiffTimeGenderFormatted","DiffRoundsGender","Starttime","StarttimeFormatted","Wavestart","WavestartFormatted","IOC Code","SplitTime","SplitRankTotal","SplitRankGender","SplitRankClass","TrendTotal","TrendGender","TrendClass","Region","Points","SplitKm","SplitSpeed","RoleKm", "RoleFinish","SplitTotalSpeed","SplitTotalTempo","SplitFormatted","SplitTempo","ISO2Lower","ValidationTime","ValidationTimeFormatted","Class isRanked","ClassGender", "ClassAgeFrom","ClassAgeTo","UCI Code","FIS Code","ContestantTeamId","ContestantTeamShortName","ContestantTeamName","ContestantTeamLeader","RegionID","RegionShortName"
717,"Anton","Gustafsson","Anton Gustafsson","M","SE","","","",";","Gotaleden Stafett & Ultra","Män","Ultra 75 km","Ultra 75 km","Mål",20,1,"TIME","","","2026-05-09T12:24:01.3300000",19441400,"5:24:02",19441400,"5:24:02",19441400,"2026-05-09T12:24:01.3300000",19441400,"5:24:02",19441400,"5:24:02",19441400,1,0,"0:00",0,1,0,"0:00",0,1,0,"0:00",0,"2026-05-09T07:00:00.000000","07:00:00","","","SWE",48000,4,4,4,0,0,0,"",0.000,0.200,15,78.000,1,14.44,4.154,"0:48",4.000,"se",0,"",1,"m",17,99,"","",0,"","","",0,""
610,"Anton","Aro","Anton Aro","M","FI","","","",";","Gotaleden Stafett & Ultra","Män","Ultra 75 km","Ultra 75 km","Mål",20,1,"TIME","","","2026-05-09T13:00:09.4900000",21609500,"6:00:10",21609500,"6:00:10",21609500,"2026-05-09T13:00:09.4900000",21609500,"6:00:10",21609500,"6:00:10",21609500,2,2168000,"36:08",0,2,2168000,"36:08",0,2,2168000,"36:08",0,"2026-05-09T07:00:00.000000","07:00:00","","","FIN",50000,8,8,8,0,0,0,"",0.000,0.200,14.4,78.000,1,12.99,4.617,"0:50",4.167,"fi",0,"",1,"m",17,99,"","",0,"","","",0,""
641,"Daniel","Branholm","Daniel Branholm","M","SE","","","",";","Gotaleden Stafett & Ultra","Män","Ultra 75 km","Ultra 75 km","Mål",20,1,"TIME","","","2026-05-09T13:20:33.2400000",22833300,"6:20:34",22833300,"6:20:34",22833300,"2026-05-09T13:20:33.2400000",22833300,"6:20:34",22833300,"6:20:34",22833300,3,3392000,"56:32",0,3,3392000,"56:32",0,3,3392000,"56:32",0,"2026-05-09T07:00:00.000000","07:00:00","","","SWE",57000,16,14,14,0,0,0,"",0.000,0.200,12.63,78.000,1,12.30,4.879,"0:57",4.750,"se",0,"",1,"m",17,99,"","",0,"","","",0,""
561,"Vidar","Skaar","Vidar Skaar","M","NO","","","",";","Gotaleden Stafett & Ultra","Män","Ultra 75 km","Ultra 75 km","Mål",20,1,"TIME","","","2026-05-09T13:56:03.9400000",24964000,"6:56:04",24964000,"6:56:04",24964000,"2026-05-09T13:56:03.9400000",24964000,"6:56:04",24964000,"6:56:04",24964000,4,5523000,"1:32:03",0,4,5523000,"1:32:03",0,4,5523000,"1:32:03",0,"2026-05-09T07:00:00.000000","07:00:00","","","NOR",61000,34,28,28,0,0,0,"",0.000,0.200,11.80,78.000,1,11.25,5.334,"1:01",5.083,"no",0,"",1,"m",17,99,"","",0,"","","",0,""
712,"Karl","Trygg","Karl Trygg","M","SE","","","",";","Gotaleden Stafett & Ultra","Män","Ultra 75 km","Ultra 75 km","Mål",20,1,"TIME","","","2026-05-09T14:13:55.0800000",26035100,"7:13:56",26035100,"7:13:56",26035100,"2026-05-09T14:13:55.0800000",26035100,"7:13:56",26035100,"7:13:56",26035100,5,6594000,"1:49:54",0,5,6594000,"1:49:54",0,5,6594000,"1:49:54",0,"2026-05-09T07:00:00.000000","07:00:00","","","SWE",57000,16,14,14,1,0,0,"",0.000,0.200,12.63,78.000,1,10.79,5.563,"0:57",4.750,"se",0,"",1,"m",17,99,"","",0,"","","",0,""
785,"Madeleine","Lundell","Madeleine Lundell","F","SE","","","",";","Gotaleden Stafett & Ultra","Kvinnor","Ultra 75 km","Ultra 75 km","Mål",20,1,"TIME","","","2026-05-09T14:13:55.1900000",26035200,"7:13:56",26035200,"7:13:56",26035200,"2026-05-09T14:13:55.1900000",26035200,"7:13:56",26035200,"7:13:56",26035200,6,6594000,"1:49:54",0,1,0,"0:00",0,1,0,"0:00",0,"2026-05-09T07:00:00.000000","07:00:00","","","SWE",57000,16,3,3,-1,0,0,"",0.000,0.200,12.63,78.000,1,10.79,5.563,"0:57",4.750,"se",0,"",1,"f",17,99,"","",0,"","","",0,""
647,"Adam","Bengtsson","Adam Bengtsson","M","SE","","","",";","Gotaleden Stafett & Ultra","Män","Ultra 75 km","Ultra 75 km","Mål",20,1,"TIME","","","2026-05-09T14:20:03.6300000",26403700,"7:20:04",26403700,"7:20:04",26403700,"2026-05-09T14:20:03.6300000",26403700,"7:20:04",26403700,"7:20:04",26403700,7,6962000,"1:56:02",0,6,6962000,"1:56:02",0,6,6962000,"1:56:02",0,"2026-05-09T07:00:00.000000","07:00:00","","","SWE",51000,11,11,11,0,0,0,"",0.000,0.200,14.12,78.000,1,10.64,5.642,"0:51",4.250,"se",0,"",1,"m",17,99,"","",0,"","","",0,""
757,"Emil","Svendsen","Emil Svendsen","M","SE","","","",";","Gotaleden Stafett & Ultra","Män","Ultra 75 km","Ultra 75 km","Mål",20,1,"TIME","","","2026-05-09T14:21:23.2800000",26483300,"7:21:24",26483300,"7:21:24",26483300,"2026-05-09T14:21:23.2800000",26483300,"7:21:24",26483300,"7:21:24",26483300,8,7042000,"1:57:22",0,7,7042000,"1:57:22",0,7,7042000,"1:57:22",0,"2026-05-09T07:00:00.000000","07:00:00","","","SWE",63000,43,37,37,0,0,0,"",0.000,0.200,11.43,78.000,1,10.60,5.659,"1:03",5.250,"se",0,"",1,"m",17,99,"","",0,"","","",0,""
568,"Tobias","Hallberg","Tobias Hallberg","M","SE","","","",";","Gotaleden Stafett & Ultra","Män","Ultra 75 km","Ultra 75 km","Mål",20,1,"TIME","","","2026-05-09T14:25:43.1100000",26743200,"7:25:44",26743200,"7:25:44",26743200,"2026-05-09T14:25:43.1100000",26743200,"7:25:44",26743200,"7:25:44",26743200,9,7302000,"2:01:42",0,8,7302000,"2:01:42",0,8,7302000,"2:01:42",0,"2026-05-09T07:00:00.000000","07:00:00","","","SWE",63000,43,37,37,0,0,0,"",0.000,0.200,11.43,78.000,1,10.50,5.714,"1:03",5.250,"se",0,"",1,"m",17,99,"","",0,"","","",0,""
512,"Oskar","Fridell","Oskar Fridell","M","SE","","","",";","Gotaleden Stafett & Ultra","Män","Ultra 75 km","Ultra 75 km","Mål",20,1,"TIME","","","2026-05-09T14:29:32.1000000",26972100,"7:29:33",26972100,"7:29:33",26972100,"2026-05-09T14:29:32.1000000",26972100,"7:29:33",26972100,"7:29:33",26972100,10,7531000,"2:05:31",0,9,7531000,"2:05:31",0,9,7531000,"2:05:31",0,"2026-05-09T07:00:00.000000","07:00:00","","","SWE",45000,2,2,2,0,0,0,"",0.000,0.200,16.00,78.000,1,10.41,5.763,"0:45",3.750,"se",0,"",1,"m",17,99,"","",0,"","","",0,""
