"Bib","Firstname","Surname","NameFormatted","Gender","Nation","Club","Team","ClubTeamFormatted","Chips","EventName","ClassName","GroupdName","RaceName","PointName","PointNumber","Lap","Status","Communique","Penalty","PassingTime","AccumulatedTime","TimeFormatted","NetTime","NetTimeFormatted","TimeSmoothed","TimeSmoothedFormatted","LapTime","LapTimeFormatted","LapNetTime","LapNetTimeFormatted","LapTimeSmoothed","RankTotal","DiffTimeTotal","DiffTimeTotalFormatted","DiffRoundsTotal","RankClass","DiffTimeClass","DiffTimeClassFormatted","DiffRoundsClass","RankGender","DiffTimeGender","DiffTimeGenderFormatted","DiffRoundsGender","Starttime","StarttimeFormatted","Wavestart","WavestartFormatted","IOC Code","SplitTime","SplitRankTotal","SplitRankGender","SplitRankClass","TrendTotal","TrendGender","TrendClass","Region","Points","SplitKm","SplitSpeed","RoleKm", "RoleFinish","SplitTotalSpeed","SplitTotalTempo","SplitFormatted","SplitTempo","ISO2Lower","ValidationTime","ValidationTimeFormatted","Class isRanked","ClassGender", "ClassAgeFrom","ClassAgeTo","UCI Code","FIS Code","ContestantTeamId","ContestantTeamShortName","ContestantTeamName","ContestantTeamLeader","RegionID","RegionShortName"
1010,"Magnus","Myhrborg","Lalarunt","M","SE","","","",";","Gotaleden Stafett & Ultra","Män","Stafett 35 km","Stafett 35 km","Mål",25,1,"TIME","","","2026-05-09T14:30:57.2200000",9057300,"2:30:58",9057300,"2:30:58",9057300,"2026-05-09T14:30:57.2200000",9057300,"2:30:58",9057300,"2:30:58",9057300,1,0,"0:00",0,1,0,"0:00",0,1,0,"0:00",0,"2026-05-09T12:00:00.000000","12:00:00","","","SWE",46000,1,1,1,0,0,0,"",0.000,0.200,15.65,36.500,1,14.51,4.136,"0:46",3.833,"se",0,"",1,"m",0,150,"","",0,"","","",0,""
1020,"Måns","Franklin","Franklin Brand & Hälsa","M","SE","","","",";","Gotaleden Stafett & Ultra","Kvinnor ","Stafett 35 km","Stafett 35 km","Mål",25,1,"TIME","","","2026-05-09T14:33:54.2800000",9234300,"2:33:55",9234300,"2:33:55",9234300,"2026-05-09T14:33:54.2800000",9234300,"2:33:55",9234300,"2:33:55",9234300,2,177000,"2:57",0,1,0,"0:00",0,2,177000,"2:57",0,"2026-05-09T12:00:00.000000","12:00:00","","","SWE",47000,3,3,1,0,0,0,"",0.000,0.200,15.32,36.500,1,14.23,4.217,"0:47",3.917,"se",0,"",1,"f",0,150,"","",0,"","","",0,""
1021,"Joel","Jakobsson","Team Jakobs","M","SE","","","",";","Gotaleden Stafett & Ultra","Mixed tävling - Minst hälften kvinnor","Stafett 35 km","Stafett 35 km","Mål",25,1,"TIME","","","2026-05-09T14:46:34.1700000",9994200,"2:46:35",9994200,"2:46:35",9994200,"2026-05-09T14:46:34.1700000",9994200,"2:46:35",9994200,"2:46:35",9994200,3,937000,"15:37",0,1,0,"0:00",0,3,937000,"15:37",0,"2026-05-09T12:00:00.000000","12:00:00","","","SWE",54000,9,7,3,0,0,0,"",0.000,0.200,13.33,36.500,1,13.15,4.564,"0:54",4.500,"se",0,"",1,"n",0,150,"","",0,"","","",0,""
1028,"Djäken Johan","Olsson","Local Connect","M","SE","","","",";","Gotaleden Stafett & Ultra","Mixed tävling - Minst hälften kvinnor","Stafett 35 km","Stafett 35 km","Mål",25,1,"TIME","","","2026-05-09T14:52:13.6400000",10333700,"2:52:14",10333700,"2:52:14",10333700,"2026-05-09T14:52:13.6400000",10333700,"2:52:14",10333700,"2:52:14",10333700,4,1276000,"21:16",0,2,339000,"5:39",0,4,1276000,"21:16",0,"2026-05-09T12:00:00.000000","12:00:00","","","SWE",50000,6,5,2,0,0,0,"",0.000,0.200,14.4,36.500,1,12.72,4.718,"0:50",4.167,"se",0,"",1,"n",0,150,"","",0,"","","",0,""
1025,"Annette","Haglund","Haglund","F","SE","","","",";","Gotaleden Stafett & Ultra","Kvinnor ","Stafett 35 km","Stafett 35 km","Mål",25,1,"TIME","","","2026-05-09T15:09:14.4000000",11354400,"3:09:15",11354400,"3:09:15",11354400,"2026-05-09T15:09:14.4000000",11354400,"3:09:15",11354400,"3:09:15",11354400,5,2297000,"38:17",0,2,2120000,"35:20",0,1,0,"0:00",0,"2026-05-09T12:00:00.000000","12:00:00","","","SWE",59000,17,6,3,0,0,0,"",0.000,0.200,12.20,36.500,1,11.57,5.185,"0:59",4.917,"se",0,"",1,"f",0,150,"","",0,"","","",0,""
1002,"Emma","Tennby","Team Sparbanken Alingsås Lag 2","F","SE","","","",";","Gotaleden Stafett & Ultra","Mixed ej tävling - Fri fördelning","Stafett 35 km","Stafett 35 km","Mål",25,1,"TIME","","","2026-05-09T15:12:03.4900000",11523500,"3:12:04",11523500,"3:12:04",11523500,"2026-05-09T15:12:03.4900000",11523500,"3:12:04",11523500,"3:12:04",11523500,6,2466000,"41:06",0,1,0,"0:00",0,2,169000,"2:49",0,"2026-05-09T12:00:00.000000","12:00:00","","","SWE",57000,12,3,6,0,0,0,"",0.000,0.200,12.63,36.500,1,11.40,5.262,"0:57",4.750,"se",0,"",1,"n",0,150,"","",0,"","","",0,""
1005,"Christina","Cullin","Gotaleden Gazelles","F","SE","","","",";","Gotaleden Stafett & Ultra","Mixed tävling - Minst hälften kvinnor","Stafett 35 km","Stafett 35 km","Mål",25,1,"TIME","","","2026-05-09T15:12:25.6600000",11545700,"3:12:26",11545700,"3:12:26",11545700,"2026-05-09T15:12:25.6600000",11545700,"3:12:26",11545700,"3:12:26",11545700,7,2488000,"41:28",0,3,1551000,"25:51",0,3,191000,"3:11",0,"2026-05-09T12:00:00.000000","12:00:00","","","SWE",56000,10,2,4,0,0,0,"",0.000,0.200,12.86,36.500,1,11.38,5.272,"0:56",4.667,"se",0,"",1,"n",0,150,"","",0,"","","",0,""
1009,"Jonas","Rothén","Cliffothén","M","SE","","","",";","Gotaleden Stafett & Ultra","Mixed ej tävling - Fri fördelning","Stafett 35 km","Stafett 35 km","Mål",25,1,"TIME","","","2026-05-09T15:13:07.0600000",11587100,"3:13:08",11587100,"3:13:08",11587100,"2026-05-09T15:13:07.0600000",11587100,"3:13:08",11587100,"3:13:08",11587100,8,2530000,"42:10",0,2,64000,"1:04",0,5,2530000,"42:10",0,"2026-05-09T12:00:00.000000","12:00:00","","","SWE",62000,22,11,10,0,0,0,"",0.000,0.200,11.61,36.500,1,11.34,5.291,"1:02",5.167,"se",0,"",1,"n",0,150,"","",0,"","","",0,""
1044,"Erik","Holmdahl","De goda","M","SE","","","",";","Gotaleden Stafett & Ultra","Mixed ej tävling - Fri fördelning","Stafett 35 km","Stafett 35 km","Mål",25,1,"TIME","","","2026-05-09T15:15:17.5700000",11717600,"3:15:18",11717600,"3:15:18",11717600,"2026-05-09T15:15:17.5700000",11717600,"3:15:18",11717600,"3:15:18",11717600,9,2660000,"44:20",0,3,194000,"3:14",0,6,2660000,"44:20",0,"2026-05-09T12:00:00.000000","12:00:00","","","SWE",46000,1,1,1,0,0,0,"",0.000,0.200,15.65,36.500,1,11.21,5.350,"0:46",3.833,"se",0,"",1,"n",0,150,"","",0,"","","",0,""
1034,"Jerker","Mårtensson","LaFamilja","M","SE","","","",";","Gotaleden Stafett & Ultra","Mixed ej tävling - Fri fördelning","Stafett 35 km","Stafett 35 km","Mål",25,1,"TIME","","","2026-05-09T15:16:18.5500000",11778600,"3:16:19",11778600,"3:16:19",11778600,"2026-05-09T15:16:18.5500000",11778600,"3:16:19",11778600,"3:16:19",11778600,10,2721000,"45:21",0,4,255000,"4:15",0,7,2721000,"45:21",0,"2026-05-09T12:00:00.000000","12:00:00","","","SWE",56000,10,8,5,0,0,0,"",0.000,0.200,12.86,36.500,1,11.16,5.378,"0:56",4.667,"se",0,"",1,"n",0,150,"","",0,"","","",0,""
